    2.380000   -1.227198    1.201530     .000000
    2.390000   -1.215390    1.160562     .000000
    2.400000   -1.203975    1.123031     .000000
    2.410000   -1.192920    1.088432     .000000
    2.420000   -1.182198    1.056366     .000000
    2.430000   -1.171785    1.026507     .000000
    2.440000   -1.161661     .998592     .000000
    2.450000   -1.151808     .972399     .000000
    2.460000   -1.142208     .947745     .000000
    2.470000   -1.132848     .924472     .000000
    2.480000   -1.123715     .902447     .000000
    2.490000   -1.114796     .881555     .000000
    2.500000   -1.106080     .861695     .000000
    2.510000   -1.097559     .842781     .000000
    2.520000   -1.089222     .824735     .000000
    2.530000   -1.081061     .807490     .000000
    2.540000   -1.073069     .790985     .000000
    2.550000   -1.065239     .775168     .000000
    2.560000   -1.057564     .759989     .000000
    2.570000   -1.050037     .745405     .000000
    2.580000   -1.042654     .731378     .000000
    2.590000   -1.035408     .717872     .000000
    2.600000   -1.028295     .704855     .000000
    2.610000   -1.021309     .692298     .000000
    2.620000   -1.014447     .680174     .000000
    2.630000   -1.007705     .668458     .000000
    2.640000   -1.001077     .657128     .000000
    2.650000    -.994561     .646163     .000000
    2.660000    -.988153     .635544     .000000
    2.670000    -.981849     .625254     .000000
    2.680000    -.975646     .615276     .000000
    2.690000    -.969542     .605594     .000000
    2.700000    -.963534     .596195     .000000
    2.710000    -.957618     .587065     .000000
    2.720000    -.951792     .578192     .000000
    2.730000    -.946053     .569564     .000000
    2.740000    -.940399     .561172     .000000
    2.750000    -.934829     .553004     .000000
    2.760000    -.929339     .545051     .000000
    2.770000    -.923927     .537304     .000000
    2.780000    -.918592     .529755     .000000
    2.790000    -.913331     .522396     .000000
    2.800000    -.908143     .515219     .000000
    2.810000    -.903026     .508217     .000000
    2.820000    -.897978     .501385     .000000
    2.830000    -.892998     .494715     .000000
    2.840000    -.888084     .488201     .000000
    2.850000    -.883234     .481838     .000000
    2.860000    -.878446     .475620     .000000
    2.870000    -.873721     .469543     .000000
    2.880000    -.869055     .463601     .000000
    2.890000    -.864448     .457790     .000000
    2.900000    -.859899     .452105     .000000
    2.910000    -.855406     .446543     .000000
    2.920000    -.850968     .441099     .000000
    2.930000    -.846583     .435769     .000000
    2.940000    -.842252     .430550     .000000
    2.950000    -.837972     .425438     .000000
    2.960000    -.833743     .420430     .000000
    2.970000    -.829563     .415524     .000000
    2.980000    -.825432     .410714     .000000
    2.990000    -.821349     .406000     .000000
    3.000000    -.817312     .401378     .000000
